obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Zagorje ob Savi,Zasavska,2016,Moški, Srednješolska - Skupaj,4394,8206,53.55
Zagorje ob Savi,Zasavska,2016,Moški," Višješolska, visokošolska - Skupaj",1014,8206,12.36
Zagorje ob Savi,Zasavska,2016,Moški, Visokošolska 1. stopnje ipd.,569,8206,6.93
Zagorje ob Savi,Zasavska,2016,Moški, Visokošolska 2. stopnje ipd.,386,8206,4.7
Zagorje ob Savi,Zasavska,2016,Moški, Visokošolska 3. stopnje ipd.,59,8206,0.72
Zagorje ob Savi,Zasavska,2016,Ženske, Osnovnošolska ali manj - Skupaj,2471,8446,29.26
Zagorje ob Savi,Zasavska,2016,Ženske, Srednješolska - Skupaj,3270,8446,38.72
Zagorje ob Savi,Zasavska,2016,Ženske," Višješolska, visokošolska - Skupaj",1527,8446,18.08
Zagorje ob Savi,Zasavska,2016,Ženske, Visokošolska 1. stopnje ipd.,805,8446,9.53
Zagorje ob Savi,Zasavska,2016,Ženske, Visokošolska 2. stopnje ipd.,652,8446,7.72
Zagorje ob Savi,Zasavska,2016,Ženske, Visokošolska 3. stopnje ipd.,70,8446,0.83
Zagorje ob Savi,Zasavska,2017,Moški, Osnovnošolska ali manj - Skupaj,1428,8192,17.43
Zagorje ob Savi,Zasavska,2017,Moški, Srednješolska - Skupaj,4394,8192,53.64
Zagorje ob Savi,Zasavska,2017,Moški," Višješolska, visokošolska - Skupaj",1068,8192,13.04
